Entity,Code,Year,Annual precipitation
Afghanistan,AFG,1940,217.67816
Afghanistan,AFG,1941,196.80933
Afghanistan,AFG,1942,300.08905
Afghanistan,AFG,1943,345.60892
Afghanistan,AFG,1944,324.4435
Afghanistan,AFG,1945,270.47113
Afghanistan,AFG,1946,187.51682
Afghanistan,AFG,1947,271.73877
Afghanistan,AFG,1948,350.473
Afghanistan,AFG,1949,405.3034
Afghanistan,AFG,1950,347.0461
Afghanistan,AFG,1951,457.9805
Afghanistan,AFG,1952,382.8329
Afghanistan,AFG,1953,569.5969
Afghanistan,AFG,1954,496.13858
Afghanistan,AFG,1955,389.91342
Afghanistan,AFG,1956,397.5075
Afghanistan,AFG,1957,546.3104
Afghanistan,AFG,1958,288.7108
Afghanistan,AFG,1959,402.13696
Afghanistan,AFG,1960,372.24997
Afghanistan,AFG,1961,375.6163
Afghanistan,AFG,1962,297.93753
Afghanistan,AFG,1963,340.40457
Afghanistan,AFG,1964,381.36438
Afghanistan,AFG,1965,387.3357
Afghanistan,AFG,1966,298.59158
Afghanistan,AFG,1967,417.88486
Afghanistan,AFG,1968,407.7379
Afghanistan,AFG,1969,407.81015
Afghanistan,AFG,1970,284.71423
Afghanistan,AFG,1971,245.17657
Afghanistan,AFG,1972,493.60233
Afghanistan,AFG,1973,327.9221
Afghanistan,AFG,1974,364.12756
Afghanistan,AFG,1975,346.62283
Afghanistan,AFG,1976,423.05795
Afghanistan,AFG,1977,375.40482
Afghanistan,AFG,1978,336.64066
Afghanistan,AFG,1979,395.56918
Afghanistan,AFG,1980,414.62546
Afghanistan,AFG,1981,404.09573
Afghanistan,AFG,1982,499.8618
Afghanistan,AFG,1983,370.81726
Afghanistan,AFG,1984,335.5672
Afghanistan,AFG,1985,314.26273
Afghanistan,AFG,1986,389.38318
Afghanistan,AFG,1987,342.6375
Afghanistan,AFG,1988,374.90253
Afghanistan,AFG,1989,371.33426
Afghanistan,AFG,1990,389.80063
Afghanistan,AFG,1991,522.0118
Afghanistan,AFG,1992,483.13354
Afghanistan,AFG,1993,352.79886
Afghanistan,AFG,1994,375.86728
Afghanistan,AFG,1995,363.31094
Afghanistan,AFG,1996,365.34705
Afghanistan,AFG,1997,418.02246
Afghanistan,AFG,1998,404.2699
Afghanistan,AFG,1999,347.337
Afghanistan,AFG,2000,219.97485
Afghanistan,AFG,2001,203.18445
Afghanistan,AFG,2002,304.83197
Afghanistan,AFG,2003,350.294
Afghanistan,AFG,2004,315.41003
Afghanistan,AFG,2005,374.579
Afghanistan,AFG,2006,346.97827
Afghanistan,AFG,2007,339.21094
Afghanistan,AFG,2008,278.27866
Afghanistan,AFG,2009,420.6156
Afghanistan,AFG,2010,332.74048
Afghanistan,AFG,2011,350.08728
Afghanistan,AFG,2012,385.41104
Afghanistan,AFG,2013,332.73666
Afghanistan,AFG,2014,348.4212
Afghanistan,AFG,2015,396.69046
Afghanistan,AFG,2016,313.22546
Afghanistan,AFG,2017,324.95364
Afghanistan,AFG,2018,280.10526
Afghanistan,AFG,2019,434.8305
Afghanistan,AFG,2020,406.76816
Afghanistan,AFG,2021,211.1876
Afghanistan,AFG,2022,319.8052
Afghanistan,AFG,2023,270.92355
Afghanistan,AFG,2024,409.32816
Albania,ALB,1940,1388.5201
Albania,ALB,1941,1350.7261
Albania,ALB,1942,931.151
Albania,ALB,1943,904.35675
Albania,ALB,1944,1224.7152
Albania,ALB,1945,1025.8207
Albania,ALB,1946,1119.7378
Albania,ALB,1947,1278.2927
Albania,ALB,1948,924.2466
Albania,ALB,1949,1171.164
Albania,ALB,1950,1073.2523
Albania,ALB,1951,1148.8429
Albania,ALB,1952,1323.9454
Albania,ALB,1953,964.6987
Albania,ALB,1954,1214.1189
Albania,ALB,1955,1564.9553
Albania,ALB,1956,1424.9598
Albania,ALB,1957,1212.1298
Albania,ALB,1958,1320.1003
Albania,ALB,1959,1389.2037
Albania,ALB,1960,1711.1532
Albania,ALB,1961,983.6811
Albania,ALB,1962,1594.8137
Albania,ALB,1963,1750.4216
Albania,ALB,1964,1422.1814
Albania,ALB,1965,1247.9419
Albania,ALB,1966,1697.6583
Albania,ALB,1967,1151.4725
Albania,ALB,1968,1360.6041
Albania,ALB,1969,1521.3213
Albania,ALB,1970,1625.3536
Albania,ALB,1971,1368.3113
